model_name,epoch,loss
ResNet50,1,2.7383812358007407
ResNet50,2,2.1335663969254557
ResNet50,3,2.0525028348883705
ResNet50,4,1.9637556566911585
ResNet50,5,1.903868190162932
ResNet50,6,1.7995250148846365
ResNet50,7,1.688395143165003
ResNet50,8,1.6144835316311672
ResNet50,9,1.5590802220737232
ResNet50,10,1.4993356048603497
ResNet50,11,1.472833148963616
ResNet50,12,1.4402970447564674
ResNet50,13,1.443198951156548
ResNet50,14,1.415821991003383
ResNet50,15,1.3944092464568976
ResNet50,16,1.3967857700784494
ResNet50,17,1.3472810381513727
ResNet50,18,1.3471512004847417
ResNet50,19,1.326396355848483
ResNet50,20,1.320614083191318
ResNet50,21,1.2942129259219255
ResNet50,22,1.2959781921733067
ResNet50,23,1.293220217423061
ResNet50,24,1.2836663825127779
ResNet50,25,1.2746744556805056
ResNet50,26,1.273789215118379
ResNet50,27,1.2939544438248705
ResNet50,28,1.2679925031979065
ResNet50,29,1.2527993537885758
ResNet50,30,1.2346566576329643
ResNet50,31,1.2895732959518043
ResNet50,32,1.279526746105355
ResNet50,33,1.226560861786918
ResNet50,34,1.2843269640222534
ResNet50,35,1.2502820096204958
ResNet50,36,1.1991430773302112
ResNet50,37,1.2406386153777238
ResNet50,38,1.2268170860722243
ResNet50,39,1.228093298271184
ResNet50,40,1.2027700240044947
ResNet50,41,1.2427047340156476
ResNet50,42,1.2344605229089938
ResNet50,43,1.2217380159803668
ResNet50,44,1.2028705277253904
ResNet50,45,1.2144643351092668
ResNet50,46,1.2387675872391752
ResNet50,47,1.219541726972136
ResNet50,48,1.222855513434276
ResNet50,49,1.2085841849179524
ResNet50,50,1.2212616669399965
ResNet50,51,1.222458192607021
ResNet50,52,1.2046964007722751
ResNet50,53,1.184264244402156
ResNet50,54,1.2340376852723338
ResNet50,55,1.204305672965696
ResNet50,56,1.2129009338595984
ResNet50,57,1.1954111458395449
ResNet50,58,1.210095682107579
ResNet50,59,1.171868119169684
ResNet50,60,1.1905725511443583
